productid,link,product_title,price,actual_price,ratings,color
317,https://www.daraz.com.np/products/acer-aspire-5-i7-13th-gen-1355u-2023-8gb-ddr5-ram-512gb-nvme-ssd-156-fhd-display-iris-xe-graphics-steel-grey-i128839907.html,Acer Aspire 5 i7 13th Gen 1355U 2023 – 8GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD Display – Iris Xe Graphics – Steel Grey,"Rs. 99,999","Rs. 115,000",No Ratings,Black
319,https://www.daraz.com.np/products/lenovo-ideapad-3-intel-core-i5-11th-gen-8gb-ddr4-ram-256gb-nvme-ssd-intel-iris-xe-graphics-156-fhd-display-grey-i128839915.html,"Lenovo Ideapad 3 Intel Core i5 11th Gen - 8GB DDR4 RAM - 256GB NVMe SSD - Intel Iris Xe Graphics - 15.6"" FHD Display - Grey","Rs. 62,999","Rs. 78,000",No Ratings,Silver
320,https://www.daraz.com.np/products/acer-aspire-5-a515-58p-intel-core-i5-1335u-processor-8gb-ram-512gb-ssd-intel-iris-xe-graphics-156-fhd-display-i129075100.html,"Acer Aspire 5 A515-58P (Intel Core i5-1335U Processor | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD Display)","Rs. 71,900","Rs. 75,000",No Ratings,Grey
322,https://www.daraz.com.np/products/dell-latitude-13inch-5320-model-11th-generation-i5-processor-8gb-ram-256gb-ssd-i127386217.html,Dell Latitude 13inch 5320 Model (11th generation i5 processor/ 8gb RAM / 256GB SSD),"Rs. 118,000","Rs. 120,000",No Ratings,Silver
324,https://www.daraz.com.np/products/laptop-lenovo-ideapad-1-intel-celeron-n4020-i132005695.html,Laptop Lenovo IdeaPad 1 Intel Celeron N4020,"Rs. 35,199","Rs. 42,000",No Ratings,cloud grey
330,https://www.daraz.com.np/products/dell-inspiron-3511-i5-laptop-11-gen-processor-8-gb-ram-512-gb-ssd-2-gb-graphics-1-year-warranty-silver-or-black-i128639500.html,Dell Inspiron 3511 I5 Laptop 11 Gen Processor 8 GB RAM 512 GB SSD 2 GB Graphics 1 Year Warranty Silver or Black,"Rs. 95,999","Rs. 114,999",No Ratings,Black
331,https://www.daraz.com.np/products/asus-expertbook-b1402-i7-13th-gen-16gb-ram-512gb-ssd-14-fhd-screen-backlit-keyboard-fp-laptop-i131371951.html,"Asus Expertbook B1402 i7 13th Gen | 16GB RAM | 512GB ssd | 14"" FHD Screen | Backlit Keyboard | FP Laptop","Rs. 103,790","Rs. 125,000",No Ratings,Blue
332,https://www.daraz.com.np/products/msi-cyborg-15-a12uc-gaming-laptop-12th-gen-core-i5-16gb-ram-512gb-gen4-ssd-156-fhd-144hz-nvidia-rtx-3050-4gb-win-11-home-i129972117.html,"MSI Cyborg 15 A12UC Gaming Laptop (12th Gen Core i5 | 16GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 3050 4GB | Win 11 Home)","Rs. 128,000","Rs. 130,000",No Ratings,Black
341,https://www.daraz.com.np/products/laptop-acer-predator-helios-300-72ju-i7-11th-gen-16gb-1tb-ssd-rtx3060-6gb-os-i128487178.html,Laptop Acer Predator Helios 300 72JU i7 11th Gen-16GB-1TB SSD-RTX3060 6GB-OS,"Rs. 154,990","Rs. 208,000",No Ratings,Black
345,https://www.daraz.com.np/products/hp-envy-x360-i7-13th-gen-16gb-ram-512gb-ssd-14-fhd-360-touch-screen-display-i128490147.html,"HP Envy x360 i7 13th Gen 16GB RAM 512GB SSD 14"" FHD 360 Touch Screen Display","Rs. 126,490","Rs. 145,000",No Ratings,Silver
348,https://www.daraz.com.np/products/lenovo-loq-15irh8-core-i5-12450h-12th-gen-8-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-2050-4gb-gfx-backlit-keyboard-win-11-i132062957.html,"Lenovo LOQ 15IRH8 Core i5-12450H 12th Gen/ 8 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 2050 4GB GFX/ Backlit Keyboard/ Win 11","Rs. 96,990","Rs. 109,800",No Ratings,Grey
351,https://www.daraz.com.np/products/msi-modern-14-b5m-laptop-amd-ryzen-7-5700u-8gb-ram-256gb-m2-nvme-ssd-14-fhd-ips-wi-fi-6-backlit-keyboard-usb-c-win-11-home-13kg-i114874935.html,"MSI Modern 14 B5M Laptop (AMD Ryzen 7 5700U | 8GB RAM | 256GB M.2 NVMe SSD | 14"" FHD IPS | Wi-Fi 6 | Backlit Keyboard | USB-C | Win 11 Home | 1.3KG)","Rs. 90,000","Rs. 116,000",No Ratings,Grey
352,https://www.daraz.com.np/products/acer-aspire-5-core-i5-1235u-12th-gen-8-gb-ram-512gb-ssd156-ipsrtx-2050-4gb-gfx-backlit-keyboard-i134909871.html,"Acer Aspire 5 Core i5- 1235U 12th Gen / 8 GB RAM/ 512GB SSD/15.6"" IPS/RTX 2050 4GB Gfx / Backlit Keyboard","Rs. 93,990","Rs. 99,990",No Ratings,Steel Gray
355,https://www.daraz.com.np/products/acer-nitro-v-15-core-i5-13420h-13th-gen-16-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-4050-6gb-gfx-backlit-keyboard-win-11-i132063373.html,"Acer Nitro V 15 Core i5-13420H 13th Gen/ 16 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 4050 6GB GFX/ Backlit Keyboard/ Win 11","Rs. 124,990","Rs. 139,990",No Ratings,Black
356,https://www.daraz.com.np/products/hp-240-g9-notebook-with-i7-processor-8-gb-ram-512-gb-ssd-14-inch-12th-gen-i129508715.html,HP 240 G9 Notebook With I7 Processor 8 GB RAM 512 GB SSD 14 Inch 12th Gen,"Rs. 92,896","Rs. 105,000",No Ratings,Silver
361,https://www.daraz.com.np/products/hp-victus-15-fb1013-gaming-amd-ryzen-5-7535hs-512gb-ssd-8gb-ram-win11nvidia-rtx-2050-4gb-156-19201080-144hz-mica-backlit-keyboard-i136721005.html,HP VICTUS 15-FB1013 GAMING AMD Ryzen™ 5 7535HS/ 512GB SSD/ 8GB Ram/ WIN11/NVIDIA® RTX 2050 (4GB)/ 15.6″ (1920×1080) 144Hz MICA Backlit Keyboard,"Rs. 93,799","Rs. 107,999",No Ratings,Matte Black
363,https://www.daraz.com.np/products/dell-inspiron-16-5620-i5-1235u-8gb-ram-512gb-ssd-16-led-full-hd-windows-11-i128488214.html,Dell Inspiron 16 5620 i5 1235U 8GB Ram 512GB SSD 16 LED Full HD+ Windows 11,"Rs. 101,490","Rs. 108,000",No Ratings,Silver
365,https://www.daraz.com.np/products/toshiba-terca-a40-celeron-dual-core-5205u4-4gbram-128gb-ssd-i114701019.html,Toshiba Terca A40 Celeron Dual Core 5205U4 4GBRAM 128GB SSD,"Rs. 38,999","Rs. 42,999",No Ratings,Graphite Black
366,https://www.daraz.com.np/products/acer-nitro-5-laptop-an515-58-97qp-new-intel-core-i9-12th-gen-12900h-16gb-ram-512ssd-nvidia-geforce-rtx-4060-8gb-graphics-156-fhd-display-144hz-dos-black-i135849067.html,Acer Nitro 5 Laptop AN515-58-97QP New Intel Core i9/ 12th Gen / 12900H/ 16GB RAM / 512SSD /NVIDIA GEFORCE RTX 4060 8GB GRAPHICS / 15.6 FHD DISPLAY /144HZ/ DOS/ Black,"Rs. 166,799","Rs. 192,560",No Ratings,Black
368,https://www.daraz.com.np/products/dell-g15-amd-ryzen-7-7840hs-rtx-4060-8gb-graphics-16gb-ddr5-ram-512gb-nvme-ssd-156-fhd-165hz-display-windows-11-home-dark-shadow-gray-i146174031.html,Dell G15 AMD Ryzen 7 7840HS RTX 4060 8GB Graphics – 16GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD 165Hz Display – Windows 11 Home – Dark Shadow Gray,"Rs. 159,999","Rs. 180,000",No Ratings,Black
369,https://www.daraz.com.np/products/dell-inspiron-16-5625-amd-ryzen-5-5625u-processor-8gb-ram-512gb-ssd-amd-radeon-graphics-i129771010.html,Dell Inspiron 16 5625 (AMD Ryzen 5 - 5625U Processor | 8GB RAM | 512GB SSD | AMD Radeon Graphics,"Rs. 94,500","Rs. 102,000",No Ratings,Silver
370,https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-generation-8gb-ram-512gb-ssd-i129584391.html,Dell Vostro 3520 i5 12th Generation 8Gb Ram 512Gb SSD,"Rs. 66,500","Rs. 71,000",No Ratings,Black
384,https://www.daraz.com.np/products/hp-victus-ryzen-5-7535hs-8gb-512gb-ssd-rtx-2050-4gb-156-fhd-144hz-i128489178.html,HP Victus Ryzen 5 7535HS 8GB 512GB SSD RTX 2050 4GB 15.6″ FHD 144Hz,"Rs. 97,690","Rs. 110,000",No Ratings,Silver
387,https://www.daraz.com.np/products/lenovo-loq-i5-13th-gen-16gb-ram-512gb-ssd-rtx-2050-156-fhd-i130109523.html,Lenovo LOQ I5 13th Gen 16GB Ram 512GB SSD RTX 2050 15.6 FHD,"Rs. 102,990","Rs. 113,000",No Ratings,Grey
388,https://www.daraz.com.np/products/hp-victus-15-intel-core-i5-13420h-processor-156-19201080-fhd-ips-display-8gb-ram-512-gb-ssd-nvidia-rtx-30506gb-dedicated-graphics-144hz-refresh-rate-i128072206.html,HP VICTUS 15 / Intel core i5-13420H Processor / 15.6″ (1920×1080) FHD IPS Display / 16GB RAM / 512 GB SSD / NVIDIA® RTX 3050(6GB Dedicated Graphics) 144Hz Refresh Rate,"Rs. 118,998","Rs. 130,000",No Ratings,Blue
395,https://www.daraz.com.np/products/acer-predator-helios-neo-16-intel-core-i5-13500hx-rtx-4060-8gb-graphics-16gb-ddr5-ram-1tb-nvme-gen-4-ssd-16-wuxga-165hz-display-windows-11-home-i146098687.html,Acer Predator Helios Neo 16 Intel Core i5-13500HX RTX 4060 8GB Graphics – 16GB DDR5 RAM – 1TB NVMe Gen 4 SSD – 16″ WUXGA 165Hz Display – Windows 11 Home,"Rs. 169,999","Rs. 195,000",No Ratings,Black
397,https://www.daraz.com.np/products/acer-nitro-5-i7-11th-gen-rtx-3070-156-fhd-144hz-16gb-ram-1tb-ssd-i128949074.html,"Acer Nitro 5 i7 11TH GEN RTX 3070 15.6"" FHD 144Hz 16GB RAM 1TB SSD","Rs. 146,490","Rs. 200,000",No Ratings,Black
405,https://www.daraz.com.np/products/dell-g16-7630-intel-core-i9-13900hx-rtx-4060-8gb-graphics-32gb-ddr5-ram-1tb-nvme-ssd-16-qhd-2560-x-1600-240hz-display-windows-11-home-i146097700.html,Dell G16 7630 Intel Core i9 13900HX RTX 4060 8GB Graphics – 32GB DDR5 RAM – 1TB NVMe SSD – 16″ QHD ( 2560 x 1600 ) 240Hz Display – Windows 11 Home,"Rs. 229,999","Rs. 280,000",No Ratings,Black
409,https://www.daraz.com.np/products/msi-gf63-thin-10sc-10th-gen-core-i7-10750h-8gb-ram-512gb-nvme-ssd-nvidia-gtx-1650-4gb-win-10-light-weight-i114885481.html,MSI GF63 Thin 10SC | 10th Gen Core i7-10750H | 8GB RAM | 512GB NVMe SSD | NVIDIA GTX 1650-4GB | Win 10 | Light Weight,"Rs. 97,000","Rs. 120,000",No Ratings,Black
412,https://www.daraz.com.np/products/asus-rog-zephyrus-duo-15-se-gx551-amd-ryzen-9-5900hx-rtx-3080-32gb-ram-1tb-ssd-156-fhd-touch-14-fhd-touchstylus-support-i128487166.html,"Asus ROG Zephyrus Duo 15 SE GX551 / AMD Ryzen 9 5900HX / RTX 3080 / 32GB RAM / 1TB SSD / 15.6"" FHD Touch + 14"" FHD Touch/Stylus Support","Rs. 470,000","Rs. 500,000",No Ratings,Black
418,https://www.daraz.com.np/products/acer-predator-helios-neo-16-i7-13th-gen-rtx-4060-16gb-ram-1tb-ssd-16-165hz-display-i128487163.html,"Acer Predator Helios Neo 16 / i7 13th Gen / RTX 4060 / 16GB RAM / 1TB SSD / 16"" 165Hz Display","Rs. 196,490","Rs. 250,000",No Ratings,Black
424,https://www.daraz.com.np/products/acer-nitro-v15-laptop-anv15-51-71pd-new-intel-core-i7-13th-gen-13620h-16gb-ram-512-ssd-nvidia-geforce-rtx-3050-6gb-backlit-english-keyboard-156-fhd-display-dos-i135848386.html,Acer Nitro V15 Laptop ANV15-51-71PD New Intel Core i7/ 13th gen/ 13620H/ 16GB RAM/ 512 SSD/ NVIDIA GEFORCE RTX 3050 6GB/ Backlit English KEYboard/ 15.6 FHD Display /DOS,"Rs. 130,299","Rs. 172,000",No Ratings,Black
426,https://www.daraz.com.np/products/hp-victus-15-fb1013-gaming-amd-ryzen-5-7535hs-512gb-ssd-8gb-ram-win11nvidia-rtx-2050-4gb-156-19201080-144hz-mica-backlit-keyboard-i129158311.html,HP VICTUS 15-FB1013 GAMING AMD Ryzen™ 5 7535HS/ 512GB SSD/ 8GB Ram/ WIN11/NVIDIA® RTX 2050 (4GB)/ 15.6″ (1920×1080) 144Hz MICA Backlit Keyboard,"Rs. 96,299","Rs. 107,999",No Ratings,Black
428,https://www.daraz.com.np/products/dell-laptop-vostro-3520-i5-12th-gen-8gb-ram-512gb-ssd-156-fhd-display-i148026754.html,"Dell Laptop Vostro 3520 i5 12th Gen / 8GB RAM / 512GB SSD / 15.6"" FHD Display","Rs. 64,399","Rs. 80,000",No Ratings,Black
429,https://www.daraz.com.np/products/dell-precision-5470-core-i7-1280h-12th-gen-32-gb-ram-512gb-ssd-nvidia-rtx-a1000-4gb-gfx-14-fhd-ipsbacklit-keyboard-win-11-pro-i129942483.html,"Dell Precision 5470 Core i7 - 1280H 12th Gen/ 32 GB RAM/ 512GB SSD/ NVIDIA RTX A1000 4GB GFX/ 14"" FHD + IPS/Backlit Keyboard/ Win 11 Pro","Rs. 299,990","Rs. 325,000",No Ratings,Aluminum Titan Grey
433,https://www.daraz.com.np/products/lenovo-new-loq-gaming-laptop-2023-intel-13th-gen-i5-13420h-nvidia-geforce-rtx-3050-6gb-160-wuxga-144hz-display-16gb-ddr5-ram-512gb-pcie-ssd-i128941106.html,Lenovo New Loq Gaming Laptop 2023 | Intel 13Th Gen I5-13420H | Nvidia Geforce Rtx 3050 6Gb | 16.0″ Wuxga 144Hz Display| 16Gb Ddr5 Ram| 512Gb Pcie Ssd,"Rs. 138,000","Rs. 156,100",No Ratings,Black
436,https://www.daraz.com.np/products/great-asia-tk-e181-i7core-11th-gen-8gb-ram-512gb-ssd-64bit-os-156inc-screen-i127092200.html,GREAT ASIA TK-E181 I7CORE 11th Gen 8GB RAM 512GB SSD 64BIT OPERATING SYSTEM 15.6INC SCREEN,"Rs. 89,999","Rs. 95,000",No Ratings,sky grey
441,https://www.daraz.com.np/products/lenovo-legion-pro-5i-i9-13900hx-rtx-4070-8gb-16gb-ram-1tb-ssd-16-display-240hz-i128476838.html,"Lenovo Legion Pro 5i / i9-13900HX / RTX 4070 8GB / 16GB RAM / 1TB SSD / 16"" Display 240Hz","Rs. 308,590","Rs. 325,000",No Ratings,Black
446,https://www.daraz.com.np/products/acer-aspire-3-15-amd-ryzen-7-5700u-16gb-ddr4-ram-512nvme-ssd-amd-radeon-graphics-i132046046.html,Laptop Acer Aspire 3 15 AMD Ryzen 7 5700U 16GB DDR4 RAM 512NVMe SSD AMD RADEON GRAPHICS,"Rs. 69,999","Rs. 83,000",No Ratings,Silver
447,https://www.daraz.com.np/products/acer-nitro-v-15-core-i7-13620h-13th-gen-16-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-3050-6gb-gfx-backlit-keyboard-win-11-i132062462.html,"Acer Nitro V 15 Core i7 -13620H 13th Gen/ 16 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 3050 6GB GFX/ Backlit Keyboard/ Win 11","Rs. 137,990","Rs. 159,990",No Ratings,Black
448,https://www.daraz.com.np/products/dell-vostro-3520-intel-core-i5-11th-generation-8gb-ddr4-ram-256gb-ssd-storage-intel-iris-xe-graphics-156-fhd-display-black-i128841857.html,Dell Vostro 3520 Intel Core i5 11th Generation - 8GB DDR4 RAM - 256GB SSD Storage - Intel Iris Xe Graphics - 15.6″ FHD Display - Black,"Rs. 63,999","Rs. 79,000",No Ratings,Black
449,https://www.daraz.com.np/products/lenovo-ideapad-slim-3i-2023-15-i3-13th-gen-8gb-ram-256gb-156-fhd-display-i128167117.html,"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display","Rs. 51,998","Rs. 65,000",No Ratings,Silver
452,https://www.daraz.com.np/products/asus-vivobook-15-x1504va-core-i5-1335u-13th-gen-8-gb-ram-512-gb-ssd156-fhd-backlit-keyboard-fp-reader-win-11-2-years-warranty-i144257249.html,"Asus Vivobook 15 X1504VA Core i5- 1335U 13th Gen / 8 GB RAM/ 512 GB SSD/15.6"" FHD / Backlit Keyboard/ FP Reader/ Win 11/ 2 Years Warranty","Rs. 90,990","Rs. 99,990",No Ratings,Silver
453,https://www.daraz.com.np/products/chuwi-corebook-x-14-windows-10-home8gb-lpddr4512gb-ssd2k-resolution-ips-display-metal-thin-body-light-and-portable-free-gift-i106045173.html,"CHUWI CoreBook X 14"" Windows 10 Home丨8GB LPDDR4丨512GB SSD丨2K Resolution IPS Display, Metal Thin Body, Light And Portable + Free Gift","Rs. 61,999","Rs. 81,400",No Ratings,Dark Grey
455,https://www.daraz.com.np/products/acer-nitro-v-15-intel-core-i7-13th-gen-13620h-8gb-ddr5-ram-512gb-nvme-ssd-nvidia-rtx-4050-6gb-graphics-156-fhd-144hz-display-backlit-keyboard-i128898017.html,"Acer Nitro V 15 Intel Core i7 13th Gen 13620H - 8GB DDR5 RAM - 512GB NVMe SSD - NVIDIA RTX 4050 6GB Graphics - 15.6"" FHD 144Hz Display - Backlit Keyboard","Rs. 156,999","Rs. 170,000",No Ratings,Black
456,https://www.daraz.com.np/products/acer-predator-helios-neo-16-intel-core-i7-14700hx-14th-generation-rtx-4060-8gb-graphics-16gb-ddr5-ram-1tb-nvme-gen-4-ssd-16-wqxga-2560-x-1600-165hz-display-i146184100.html,Acer Predator Helios Neo 16 Intel Core™ i7-14700HX 14th Generation – RTX 4060 8GB Graphics – 16GB DDR5 RAM – 1TB NVMe Gen 4 SSD – 16″ WQXGA ( 2560 x 1600 ) 165Hz Display,"Rs. 204,999","Rs. 240,000",No Ratings,Dark Grey
460,https://www.daraz.com.np/products/msi-thin-15-b12uc-gaming-laptop-12th-gen-core-i5-8gb-ram-512gb-gen4-ssd-156-fhd-144hz-nvidia-rtx-3050-4gb-wi-fi-6-186kg-i129972143.html,"MSI Thin 15 B12UC Gaming Laptop (12th Gen Core i5 | 8GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 3050 4GB | Wi-Fi 6 | 1.86KG)","Rs. 114,900","Rs. 117,000",No Ratings,Grey
462,https://www.daraz.com.np/products/dell-latitude-14-5420-i5-1135g7-8gb-ram-256gb-ssd-14-full-hd-display-i130111477.html,"Dell Latitude 14 5420 - i5 1135G7 | 8GB RAM | 256GB SSD | 14"" Full-HD Display |","Rs. 69,999","Rs. 95,000",No Ratings,Silver
463,https://www.daraz.com.np/products/hp-notebook13-gen-intel-core-i3-n305-8-gb-ddr4-256-gb-ssd-14-hd-1366-x-768-win-10-pro-moonlight-blue-i153560897.html,"HP NoteBook,13 Gen Intel Core i3-N305 | 8 GB DDR4 | 256 GB SSD | 14"" HD (1366 x 768)| Win 10 Pro | Moonlight Blue","Rs. 52,499","Rs. 59,999",No Ratings,Lake Blue
466,https://www.daraz.com.np/products/business-series-dell-latitude-3440-12th-gen-i5-processor-8gb-512gb-ssd-backlit-3yrs-warranty-i131730660.html,Business Series- Dell Latitude 3440 | 12th Gen i5 Processor | 8GB | 512GB SSD | Backlit | 3yrs warranty,"Rs. 78,999","Rs. 98,000",No Ratings,Black
469,https://www.daraz.com.np/products/asus-vivobook-14-amd-ryzen-3-7320u-8gb-ddr5-ram-256gb-nvme-ssd-amd-radeon-integrated-graphics-14-fhd-display-numeric-touchpad-windows-11-home-i149994394.html,Asus Vivobook 14 AMD Ryzen 3 7320U – 8GB DDR5 RAM – 256GB NVMe SSD – AMD Radeon Integrated Graphics – 14″ FHD Display – Numeric Touchpad – Windows 11 Home,"Rs. 54,999","Rs. 68,000",No Ratings,Dark blue
477,https://www.daraz.com.np/products/acer-predator-helios-300-neo-16-i7-13th-gen-rtx-4050-16gb-ram-1tb-ssd-165hz-i128489176.html,Acer Predator Helios 300 Neo 16 i7 13th Gen RTX 4050 16GB RAM 1TB SSD 165Hz,"Rs. 190,000","Rs. 220,000",No Ratings,Black
478,https://www.daraz.com.np/products/asus-vivobook-15-2024-f1504v-intel-core-5-120u-14th-gen-16gb-ddr4-ram-512gb-nvme-ssd-156-fhd-display-backlit-keyboard-fingerprint-reader-windows-11-home-i153548385.html,Asus VivoBook 15 2024 F1504V Intel Core 5 120U 14th Gen – 16GB DDR4 RAM – 512GB NVMe SSD – 15.6″ FHD Display – Backlit Keyboard – FingerPrint Reader – Windows 11 Home,"Rs. 89,999","Rs. 98,000",No Ratings,Silver
480,https://www.daraz.com.np/products/lenovo-ip-1-ryzen-5-7520u-8gb-ram512gb-ssd-156-display-i128112365.html,Lenovo IP 1 Ryzen 5 7520U 8GB RAM/512GB SSD/ 15.6 Display,"Rs. 61,997","Rs. 70,000",No Ratings,Silver
481,https://www.daraz.com.np/products/hp-victus-15-ryzen-7-5800h-16-gb-ram-512-gb-ssd-rtx-3050ti-156-fhd-144hz-i128949077.html,"HP Victus 15 Ryzen 7 5800H 16 GB RAM 512 GB SSD RTX 3050Ti 15.6"" FHD 144Hz","Rs. 123,390","Rs. 132,000",No Ratings,Grey
484,https://www.daraz.com.np/products/asus-vivibook-go-e1404-ryzen-5-7520u-8-gb-ddr5-ram-512-gb-ssd14-fhd-backlit-keyboard-fp-reader-win-11-2-years-warranty-i139247718.html,"Asus Vivibook Go E1404 Ryzen 5 - 7520U / 8 GB DDR5 RAM/ 512 GB SSD/14"" FHD / Backlit Keyboard/ FP Reader/ Win 11/ 2 Years Warranty","Rs. 77,990","Rs. 88,990",No Ratings,Silver
485,https://www.daraz.com.np/products/dell-vostro-3520-12th-gen-intel-core-i3-1215u-processor-8gb-ddr4-ram-256gb-nvme-ssd-intel-uhd-graphics-156-inch-fhd-1920-x-1080-display-i150362484.html,Dell Vostro 3520 (12th Gen Intel Core i3 1215U Processor | 8GB DDR4 RAM | 256GB NVMe SSD | Intel UHD Graphics | 15.6-inch FHD (1920 x 1080) Display ,"Rs. 48,999","Rs. 59,999",No Ratings,Black
487,https://www.daraz.com.np/products/lenovo-ideapad-1-14amn7-ryzen-5-7520u-8gb-ram-256gb-ssd-14-fhd-display-i133125022.html,"Lenovo IdeaPad 1 14AMN7 | Ryzen 5-7520U | 8GB RAM | 256GB SSD | 14"" FHD Display |","Rs. 58,999","Rs. 64,999",No Ratings,Silver
492,https://www.daraz.com.np/products/asus-rog-laptop-zephyrus-intel-core-i7-13th-gen-13620h-processor-16-gb-ram-512-ssd-gb-nvidia-rtx-4060-8gb-16-fhd-display-rgb-backlit-keyboard-win11-1-year-warranty-i135673571.html,"Asus ROG Laptop ZEPHYRUS [(Intel core-i7 13th GEN) 13620H Processor / 16 GB RAM / 512 SSD GB / NVIDIA RTX 4060 (8GB) / 16"" FHD Display / RGB BACKLIT Keyboard/ Win11 / 1 Year warranty","Rs. 197,999","Rs. 255,000",No Ratings,Black
494,https://www.daraz.com.np/products/lenovo-thinkbook-13s-core-i7-1165g7-11th-gen-8-gb-lpddr4-ram-256-gb-ssd133-ips-backlit-keyboard-win-11-pro-i132748697.html,"Lenovo Thinkbook 13s Core i7 - 1165G7 11th Gen / 8 GB LPDDR4 RAM/ 256 GB SSD/13.3"" IPS/ Backlit Keyboard/ Win 11 Pro","Rs. 98,990","Rs. 115,990",No Ratings,Mineral Gray
500,https://www.daraz.com.np/products/lenovo-legion-pro-5i-i7-13th-gen-16gb-512gb-16-wqxga-165hz-rtx-4060-8gb-i128492782.html,Lenovo Legion Pro 5i i7 13th Gen 16GB 512GB 16″ WQXGA 165Hz RTX 4060 8GB,"Rs. 215,500","Rs. 226,000",No Ratings,Black
504,https://www.daraz.com.np/products/acer-extensa-15-215-i5-11th-gen-8gb-256ssd-156fhd-i116160433.html,Acer Extensa 15 215 - i5 11th Gen 8GB 256SSD 15.6FHD,"Rs. 68,998","Rs. 70,000",No Ratings,Black
512,https://www.daraz.com.np/products/dell-vostro-14-3430-13th-gen-i5-1335u-8gb-512-ssd-1yrs-warranty-i129113645.html,"DELL VOSTRO 14""-3430 | 13th gen I5-1335U |8GB | 512 SSD | 1yrs warranty","Rs. 85,000","Rs. 91,000",No Ratings,Light Grey
515,https://www.daraz.com.np/products/dell-inspiron-15-3530-i5-13th-gen-1335u-8gb-512ssd-intel-uhd-fhd-i130182711.html,Dell Inspiron 15 3530 i5 13th Gen - 1335U | 8GB | 512SSD | Intel UHD | FHD,"Rs. 87,500","Rs. 96,000",No Ratings,Black
516,https://www.daraz.com.np/products/acer-aspire-lite-14-intel-core-i3-n300-13th-generation-8gb-ddr5-ram-512gb-nvme-gen-4-ssd-intel-integrated-graphics-14-wuxga-display-silver-i149598060.html,Acer Aspire Lite 14 Intel Core i3 N300 13th Generation – 8GB DDR5 RAM – 512GB NVMe Gen 4 SSD – Intel Integrated Graphics – 14″ WUXGA Display – Silver,"Rs. 55,555","Rs. 62,000",No Ratings,Silver
521,https://www.daraz.com.np/products/acer-nitro-v-15-core-i5-13320h-13th-gen-8gb-ddr5-ram-512gb-ssd-156-fhd-144hz-ips-display-nvidia-rtx-3050-6gb-gfx-backlit-keyboardwin-11-i129698778.html,"Acer Nitro V 15 Core i5 13320H 13th Gen/ 8GB DDR5 RAM/ 512GB SSD /15.6 "" FHD 144HZ IPS Display/ NVidia RTX 3050 6GB GFX/ Backlit Keyboard//Win 11","Rs. 111,990","Rs. 135,990",No Ratings,Black
526,https://www.daraz.com.np/products/dell-latitude-3440-i5-1235u-8gb-ram-512gb-ssd-i147108240.html,Dell Latitude 3440 – i5 -1235U | 8GB RAM | 512GB SSD,"Rs. 78,199","Rs. 99,999",No Ratings,Black
529,https://www.daraz.com.np/products/asus-x515-i5-11th-gen-8gb-ram-512gb-ssd-2gb-nvidia-mx350-graphic-laptop-i128171604.html,Asus X515 i5 11th Gen 8GB RAM 512GB ssd 2GB Nvidia MX350 Graphic Laptop,"Rs. 75,990","Rs. 88,000",No Ratings,Silver
530,https://www.daraz.com.np/products/asus-vivobook-16-f1605va-intel-core-i5-13th-gen-13500h-8gb-ram-ddr4-512gb-ssd-16-wuxga-ips-windows-11-home-laptop-i146357459.html,ASUS VivoBook 16 F1605VA Intel Core i5 13th Gen 13500H 8GB RAM DDR4 512GB SSD 16″ WUXGA IPS Windows 11 Home Laptop,"Rs. 89,990","Rs. 110,000",No Ratings,Black
